0.0249999999979058,0.0249999999979058,0.002357
0.0249999999979058,0.075,0.009870
0.0249999999979058,0.125,0.019110
0.0249999999979058,0.175,0.026518
0.0249999999979058,0.225,0.029019
0.0249999999979058,0.275,0.024463
0.0249999999979058,0.325,0.012718
0.0249999999979058,0.375,-0.004461
0.0249999999979058,0.425,-0.023828
0.0249999999979058,0.475,-0.041412
0.0249999999979058,0.525,-0.052987
0.0249999999979058,0.575,-0.055197
0.0249999999979058,0.625,-0.047341
0.0249999999979058,0.675,-0.030972
0.0249999999979058,0.725,-0.008171
0.0249999999979058,0.775,0.017344
0.0249999999979058,0.825,0.037717
0.0249999999979058,0.875,0.043383
0.0249999999979058,0.925,0.030434
0.0249999999979058,0.975,0.004753
0.0249999999979058,1.025,-0.021701
0.0249999999979058,1.075,-0.038113
0.0249999999979058,1.125,-0.039484
0.0249999999979058,1.175,-0.026983
0.0249999999979058,1.225,-0.005618
0.0249999999979058,1.275,0.018406
0.0249999999979058,1.325,0.039214
0.0249999999979058,1.375,0.052153
0.0249999999979058,1.425,0.054928
0.0249999999979058,1.475,0.048081
0.0249999999979058,1.525,0.033886
0.0249999999979058,1.575,0.015218
0.0249999999979058,1.625,-0.004192
0.0249999999979058,1.675,-0.019651
0.0249999999979058,1.725,-0.027338
0.0249999999979058,1.775,-0.026760
0.0249999999979058,1.825,-0.021006
0.0249999999979058,1.875,-0.014224
0.0249999999979058,1.925,-0.008636
0.0249999999979058,1.975,-0.003628
0.0249999999979058,2.025,0.002608
0.0249999999979058,2.075,0.010782
0.0249999999979058,2.125,0.019653
0.0249999999979058,2.175,0.026739
0.0249999999979058,2.225,0.029272
0.0249999999979058,2.275,0.024930
0.0249999999979058,2.325,0.012960
0.0249999999979058,2.375,-0.004725
0.0249999999979058,2.425,-0.024006
0.0249999999979058,2.475,-0.040673
0.0249999999979058,2.525,-0.051916
0.0249999999979058,2.575,-0.055721
0.0249999999979058,2.625,-0.049800
0.0249999999979058,2.675,-0.032659
0.0249999999979058,2.725,-0.006572
0.0249999999979058,2.775,0.020879
0.0249999999979058,2.825,0.039421
0.0249999999979058,2.875,0.041625
0.0249999999979058,2.925,0.027166
0.0249999999979058,2.975,0.002772
0.0249999999979058,3.025,-0.021509
0.0249999999979058,3.075,-0.036785
0.0249999999979058,3.125,-0.038308
0.0249999999979058,3.175,-0.026382
0.0249999999979058,3.225,-0.005460
0.0249999999979058,3.275,0.018060
0.0249999999979058,3.325,0.038287
0.0249999999979058,3.375,0.051259
0.0249999999979058,3.425,0.054954
0.0249999999979058,3.475,0.048869
0.0249999999979058,3.525,0.034218
0.0249999999979058,3.575,0.014489
0.0249999999979058,3.625,-0.005000
0.0249999999979058,3.675,-0.019156
0.0249999999979058,3.725,-0.025525
0.0249999999979058,3.775,-0.025066
0.0249999999979058,3.825,-0.020746
0.0249999999979058,3.875,-0.015325
0.0249999999979058,3.925,-0.010029
0.0249999999979058,3.975,-0.004540
0.0249999999979058,4.025,0.002183
0.0249999999979058,4.075,0.010746
0.0249999999979058,4.125,0.020197
0.0249999999979058,4.175,0.027731
0.0249999999979058,4.225,0.029864
0.0249999999979058,4.275,0.024520
0.0249999999979058,4.325,0.012271
0.0249999999979058,4.375,-0.004338
0.0249999999979058,4.425,-0.022448
0.0249999999979058,4.475,-0.039582
0.0249999999979058,4.525,-0.052805
0.0249999999979058,4.575,-0.058028
0.0249999999979058,4.625,-0.051312
0.0249999999979058,4.675,-0.031861
0.0249999999979058,4.725,-0.004193
0.0249999999979058,4.775,0.022747
0.0249999999979058,4.825,0.039394
0.0249999999979058,4.875,0.039995
0.0249999999979058,4.925,0.025171
0.0249999999979058,4.97499999992403,0.001459
0.075,0.0249999999979058,0.009421
0.075,0.075,0.024672
0.075,0.125,0.041994
0.075,0.175,0.055165
0.075,0.225,0.058173
0.075,0.275,0.047270
0.075,0.325,0.022153
0.075,0.375,-0.013506
0.075,0.425,-0.053096
0.075,0.475,-0.088204
0.075,0.525,-0.110451
0.075,0.575,-0.114044
0.075,0.625,-0.097264
0.075,0.675,-0.062150
0.075,0.725,-0.014435
0.075,0.775,0.035049
0.075,0.825,0.070746
0.075,0.875,0.078401
0.075,0.925,0.054016
0.075,0.975,0.007933
0.075,1.025,-0.040050
0.075,1.075,-0.070819
0.075,1.125,-0.074069
0.075,1.175,-0.050387
0.075,1.225,-0.008405
0.075,1.275,0.039586
0.075,1.325,0.081372
0.075,1.375,0.107654
0.075,1.425,0.113853
0.075,1.475,0.100285
0.075,1.525,0.071002
0.075,1.575,0.032651
0.075,1.625,-0.006255
0.075,1.675,-0.036905
0.075,1.725,-0.053239
0.075,1.775,-0.054678
0.075,1.825,-0.045848
0.075,1.875,-0.033003
0.075,1.925,-0.019962
0.075,1.975,-0.006789
0.075,2.025,0.008238
0.075,2.075,0.025624
0.075,2.125,0.043089
0.075,2.175,0.055997
0.075,2.225,0.058952
0.075,2.275,0.047925
0.075,2.325,0.022417
0.075,2.375,-0.013554
0.075,2.425,-0.052688
0.075,2.475,-0.087061
0.075,2.525,-0.109912
0.075,2.575,-0.115689
0.075,2.625,-0.100259
0.075,2.675,-0.063316
0.075,2.725,-0.011854
0.075,2.775,0.039322
0.075,2.825,0.072628
0.075,2.875,0.076072
0.075,2.925,0.049490
0.075,2.975,0.004631
0.075,3.025,-0.040468
0.075,3.075,-0.069141
0.075,3.125,-0.071970
0.075,3.175,-0.048981
0.075,3.225,-0.008103
0.075,3.275,0.038745
0.075,3.325,0.079869
0.075,3.375,0.106526
0.075,3.425,0.113837
